File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,cJSON
/testfiles/json-invalid-single/4114.json,1587,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/f89c141603ab494cb8fbb94d4bf16a48.json,3646,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/6964.json,28,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/8516.json,31,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/eb811321c44e443e9b11fed094168c47.json,1157,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/ba4cc7560f1e43a7afce7e4097d52f9c.json,1859,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/1915a66f7b3f421fa137b115a7a2e485.json,7068,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/2662.json,1675,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/6643.json,1638,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/53f2eb7084944f88ab9830304dfa5dda.json,17010,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7609.json,904,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/0ad381f851dc4a5b8ca37f68563d3ddb.json,755,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/6598.json,56,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/5063.json,46,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/fa60e54637ee4f53a8c9187ffebede9d.json,723,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/5200.json,377,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7681.json,498,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7278.json,261,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6831.json,928,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/4470.json,1058,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/383.json,14,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/6643.json,1641,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7920.json,34,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/280.json,56,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/b19f9eeb8b244d33ae8073e1a93a1542.json,3251,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/7021.json,4,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/6234.json,368,,The process terminated with exit code 139
/testfiles/json-invalid-mult/4350.json,1965,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/3790.json,30,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/a8cc6e1a2bf14162adebb60eaba69f1a.json,115,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2891.json,1109,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/277.json,3395,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/8396.json,137,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/3660.json,58,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/4995.json,233,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/6d9791c71f0340f391590e886ebb638f.json,367,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-mult/2108.json,68,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/d2ea175b45434181bf2210c7d733d95a.json,517,,Reported an incorrect input with exit code 1
/testfiles/json-invalid/6867d84b9c4b401c905ca1ede8fb9af7.json,3443,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/7753.json,26629,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-realworld/7088.json,33,,Reported an incorrect input with exit code 1
/testfiles/json-invalid-single/2371.json,22,,Reported Incomplete
/testfiles/json-invalid-single/8396.json,137,,
