File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,TinyC
/testfiles/tinyc-invalid/70bc9b30a62379f52488e795380e3bd3.c,16,,Reported Incomplete
/testfiles/tinyc-invalid/73325176da29cda5aa80eb277c530b8c.c,1225,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7ee7b0160730355fca1ca4a8bd2892a3.c,136,,Reported Incomplete
/testfiles/tinyc-invalid/6c7ca70e9f7aba2f514dadc98ba4b262.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7c89462d17f0f27967e62067e5a83b2f.c,15,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/ebaabc8938b058e8663af28e1fc377e8.c,40,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7aec5122bf662d00736d2824d4d876b0.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6a3b37ab1e2e07d5d86bceef8ceb6165.c,13,,Reported Incomplete
/testfiles/tinyc-invalid-single/e2b88d2793a00dd0a1995fd2565342e5.c,6,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f9e6f878e075137020b0e4418c16b118.c,9,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/efe07d515f1ef758cb564f0186199ec0.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/62378352d5d3ed7dbeaba042746c796c.c,32,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/706af7bbe0a4c0f043990fb386dccbba.c,36,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6e307c8f80f4068babe2f13dcdf07477.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e7aa03a2d736853af718feb925ce011f.c,261,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6079cac43fe513b6e0d841ab036f4b3c.c,8436,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/74193e054f53e4778bc731aa8d76d53e.c,21136,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7b1a1df9b97d5fa292c988a597cc6320.c,2,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e273975e2715ff5d2f3ff1040c5f28cb.c,8,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/6182d3ff4060a189c1362a620b48085a.c,358,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/.c,10715,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e70362e00d35d657666d6735be76c3f2.c,21,,The process terminated with exit code 19
/testfiles/tinyc-invalid/6265f563763b28ee4ea37878805c3772.c,63,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7e96b55ef1e20f5a9efa0b5d14ad397f.c,79,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/71c0ab5a17bfad348ed81f415bec0c60.c,1,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e581cd3de513b8da1293be1ca9871f11.c,18,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/df9a8a5d2e129ec5ac4e809b4333265e.c,9,,The process terminated with exit code 6
/testfiles/tinyc-invalid-single/fd23de76a537323e39ea610a768e0737.c,12,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/63dd2c7ac78411ae2d84031eaa855abe.c,23707,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7176896b9c8f574fbf9389b4003e5a5f.c,44,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/ea98c1e914dd459eb86996d2ca99bbb6.c,11,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e8ae38b9b426acc956f05b9e33ad1b80.c,363,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/fc21cfbea2474f618e667f5f2d18cbb9.c,163,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/dd1c0e1a8117f569694f113305a9a032.c,18,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f03c5cec3d87f0844e13ba9c4cd7cd37.c,20,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e1c07ab7609479202fb03e9f8085804e.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/e581cd3de513b8da1293be1ca9871f11.c,6,,The process terminated with exit code 6
/testfiles/tinyc-invalid/67117ad041d3aaeb009ad9e578a59171.c,123,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/73f0aca5c684eb21b6dca0a848b8693a.c,669,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/e39d529bc7015ec6eaa2b54060d369e4.c,8,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7223676c4dbf0c43b7eed7589dd09b50.c,32,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-mult/f3c72ccf24dd61c1a9c5bdf7216739e7.c,4,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/7dfa3df2efd1fbcef83dd4fca528fb85.c,12,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/73157b30d63ebb4bbdd70dbff6b46574.c,32,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/f2a58825dce52705b57d3226c5ff8d51.c,5,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid-single/dedf5b8f78ea5279dee2684f0d5f4920.c,6,,Reported an incorrect input with exit code 1
/testfiles/tinyc-invalid/63cd1bfabe1cebc5a88ec56ad398d112.c,14,,Reported Incomplete
