File names, FailReason for each subject and file sizes in Bytes for each file. Empty=Success
File name,Size,ANTLR,INI
/testfiles/ini-invalid/92c7c6ae5af2412c91c3f7188ac601a7.ini,18501,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/5227364499d44eef89017fc867614c0a.ini,37,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/e066ae1698064b1d9a9773cd9a043824.ini,2246,,
/testfiles/ini-invalid/61187accb8db4c7ca25d9de6b07a387c.ini,284,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/03d9d18ef6004208abcb3c7f02710d40.ini,63,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/51c7eecba3c54a9c90bbfbc808db3c26.ini,75,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/9c66bf7ac2884e7298ca5dc96efc0521.ini,196,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/8983ac67661a4c1493ec0bdd06a4e0e1.ini,398,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/cee0c8dec6b344abb0f4419685016bd5.ini,7270,,
/testfiles/ini-invalid-single/15027701cec74115ac3b0b7857520ae5.ini,819,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/02aaf66820894d1b833271da95740b64.ini,611,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/965190f4836a40e89f06ce5133da95aa.ini,466,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/7010be0e664d4c91aa92815c09db3f1d.ini,613,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/34156eb2bb344d33a1e3c3fd7343ebb0.ini,601,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/aca95f84afc64f7c93888759cf71bc23.ini,15510,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/7010be0e664d4c91aa92815c09db3f1d.ini,611,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/a151d5f6a1014242ba88bdffe555d347.ini,44,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/4ff53a02ba134bc3aa892daa55b9bfe3.ini,42,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/772d9763e5f14cdf83a3e3e06d64b504.ini,13830,,
/testfiles/ini-invalid-single/1a2a89f9637047f3af9d4821a3026622.ini,667,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/844b47644dd0474ca19ee3f008ddbf37.ini,579,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/ea208c63c517425eabeca531b2285b0c.ini,17,,Reported Incomplete
/testfiles/ini-invalid/f8ccef3f096f45ae93c1914b569d0d63.ini,2171,,
/testfiles/ini-invalid/e71694e0bede4c9a9dcf254f2ec5608c.ini,50,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/4269915eb132401bb97b2db3a8b8f6d4.ini,66,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/49c1489732b54d029f7be56e505b3ffb.ini,352,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/65f8a36b4c7341d387e8fc3a2bc87b4f.ini,188,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/4bec67f1c14249c8aeec9b2e7aee293f.ini,822,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/b0b652742413472a872d930f53071e48.ini,22731,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/e99de5f990cb4030a0d3e5a4b62e44c6.ini,68184,,
/testfiles/ini-invalid-mult/1a748ad35c4e433ca33698872f10bcf0.ini,237,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/95c0e7f4c98b40ca9c99c100fd324cfc.ini,57,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/94a3b18d1b344ef5b26a9d223ae53fba.ini,6010,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/0af5a86b599e487f9cb008cec87d9c3f.ini,127,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-mult/11b22fcb485f4a5291f05eccaa576823.ini,109,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/c59e8d8e75b34a4fad363931e7b79fcb.ini,203,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/6cf54ba20f6c49438fcfab030c5e9db5.ini,101,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/334a4fd72a184ffe8fd43c9d26a4048e.ini,456,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid-single/35a62177fd524cb794c91a6a6f760c28.ini,541,,Reported an incorrect input with exit code 1
/testfiles/ini-invalid/cc5cd7e27af34182ad929ac4d5e7162d.ini,16094,,
/testfiles/ini-invalid/f7cde9ac5f9345ad9b94c013a6dc3333.ini,15662,,
/testfiles/ini-invalid-mult/4932e254b68b4d25908eeffeb7866e38.ini,24,,Reported Incomplete
/testfiles/ini-invalid/7404821f097545b7a3fbd9fb06520c14.ini,2575,,
